id,question,svar,next_id,anbefaling
Q27,Other covariates to be controlled for? (Q27),yes,,two-way ancova p 553-555
Q27,Other covariates to be controlled for? (Q27),no,,two-way anova p 548-553
Q28,Other covariates to be controlled for? (Q28),yes,,Higher-way ANCOVA p 555
Q28,Other covariates to be controlled for? (Q28),no,,Higher-way ANOVA p 555
Q30,more than two variables of interest: Outcome variable continous or binary,Binary,Q29,
Q30,more than two variables of interest: Outcome variable continous or binary,Continous,,Multiple rgression methods. P 468-484
Q29,Time of events important?,yes,Q31,
Q29,Time of events important?,no,,Multiple logistic regression methods p 629
Q99,Ordinal data?,no,Q26,
Q99,Ordinal data?,yes,,Rank correlation methods p 495-496
Q26,Both variables categorical. Interested in tests of association or reproducibility,Association,,"Use contingency table methods p 362, 392"
Q26,Both variables categorical. Interested in tests of association or reproducibility,reproducibility,,Use Kappa statistic p 406
Q31,Survival analysis methods: One-sample problem?,yes,,Use one-sample test for incidence rates p 727-728
Q31,Survival analysis methods: One-sample problem?,no,Q33,
Q33,Incidence rates remain constant over time?,yes,Q32,
Q33,Incidence rates remain constant over time?,no,Q34,
Q32,two-sample problem (Q32),Yes,,"Use two-sample test for comparison of incidence rates, if no confounding is present. Or methods for statified person-time data, if confounding is present. P 731,734,744"
Q32,two-sample problem (Q32),No,,Interested in test of trend over more than two exposure groups. Use test of trend for incidence rates p 756
Q34,use survival-analysis methods: Interested in comparison of survival curves of two groups with limited control of covariates?,yes,,Use log-rank test p769
Q34,use survival-analysis methods: Interested in comparison of survival curves of two groups with limited control of covariates?,no,Q35,
Q35,Interested in effects of several risk factors on survival. Willing to assume several curve comes from a weibull distribution?,yes,,use parameter survival methods based on weibull distribution. P 795-801
Q35,Interested in effects of several risk factors on survival. Willing to assume several curve comes from a weibull distribution?,no,,Use Cox proportional hazards model p 774
Q36,2x2 contingency table?,yes,,"use two-sample test for binomial proportions, or 2x2 contingency table methods if no confounding is present or the mantel-haenszel test if confounding is present. P 354,362,,364"
Q36,2x2 contingency table?,No,Q37,
Q37,2xk contingency table?,Yes,Q40,
Q37,2xk contingency table?,no,,"rRxC contingency table R>2, C>2. Use chi-square test for RxC tables. P 392"
Q38,"Underlying distribution normal, or can central-limit theorem be assumed to hold?",yes,,One-way ANOVA p.-516-538
Q38,"Underlying distribution normal, or can central-limit theorem be assumed to hold?",no,Q39,
Q39,Categorical data?,yes,,Use RxC contingency table methods. P 392
Q39,Categorical data?,no,,Use another underlying distribution or use nonparametric methods such as kruskal-wallis test. P. 556-557
Q40,Interested in trend over k binomial proportions?,yes,,"Use chi-square test for trend, if no confounding is present or the Mantel Extension test if confounding is present. P. 364+623"
Q40,Interested in trend over k binomial proportions?,No,,Use chi-square test for heterogeneity for 2xk tables p. 392
